Day,Scenario,Method,QualityScore,Parameters
0,UrbanLarge,OSC,23.42717833494706,"{'transport_cost': 293.450770697708, 'labor_cost': 190.96941962318107, 'project_duration': 57.55453327251661, 'material_cost': 237.66218601696235, 'carbon_emission': 36.40153558090264, 'quality_index': 4.015095710623912}"
0,UrbanLarge,Traditional,23.673903050237232,"{'transport_cost': 271.7103748767213, 'labor_cost': 294.78723033594906, 'project_duration': 109.23596426673866, 'material_cost': 354.16464315940425, 'carbon_emission': 284.6543438636727, 'quality_index': 9.044740440374003}"
0,SuburbanSmall,OSC,22.685156833035574,"{'transport_cost': 261.98360552919314, 'labor_cost': 347.9502160864603, 'project_duration': 74.46172371891117, 'material_cost': 158.4418334613497, 'carbon_emission': 81.12795094818486, 'quality_index': 3.9338411707490835}"
0,SuburbanSmall,Traditional,2.051639508773086,"{'transport_cost': 54.316337916264736, 'labor_cost': 178.73974384487897, 'project_duration': 80.5031833448468, 'material_cost': 380.6854479986821, 'carbon_emission': 348.3635757494825, 'quality_index': 1.9814787620359318}"
1,UrbanLarge,OSC,13.873821012554952,"{'transport_cost': 213.0944841499525, 'labor_cost': 362.281076593914, 'project_duration': 105.47119594087287, 'material_cost': 126.27659034823964, 'carbon_emission': 44.67809642007733, 'quality_index': 2.4274965992305684}"
1,UrbanLarge,Traditional,6.837966492478242,"{'transport_cost': 147.6701085003338, 'labor_cost': 166.79296212566265, 'project_duration': 41.12763919514144, 'material_cost': 388.15032278732826, 'carbon_emission': 257.68830432274854, 'quality_index': 3.294419488215981}"
1,SuburbanSmall,OSC,49.19554007181723,"{'transport_cost': 240.10694466378706, 'labor_cost': 336.08587533211914, 'project_duration': 62.21672193919479, 'material_cost': 227.04073135796438, 'carbon_emission': 34.84552928560148, 'quality_index': 8.317542792080191}"
1,SuburbanSmall,Traditional,13.323172480626278,"{'transport_cost': 148.21743694529107, 'labor_cost': 163.82463298832465, 'project_duration': 69.9245604781647, 'material_cost': 634.0121186189751, 'carbon_emission': 190.85255319096137, 'quality_index': 5.287466934968095}"
2,UrbanLarge,OSC,16.910621096817003,"{'transport_cost': 215.00607079825534, 'labor_cost': 369.7833912043735, 'project_duration': 47.36037865626503, 'material_cost': 280.9242407304654, 'carbon_emission': 49.24751185819938, 'quality_index': 2.955666854099455}"
2,UrbanLarge,Traditional,24.31356466713736,"{'transport_cost': 207.5575849389968, 'labor_cost': 323.20045936112956, 'project_duration': 30.302508234674367, 'material_cost': 275.2078648493489, 'carbon_emission': 137.42627293685496, 'quality_index': 8.741712667535188}"
2,SuburbanSmall,OSC,37.18192558898744,"{'transport_cost': 68.41805669167162, 'labor_cost': 321.9357079482519, 'project_duration': 62.087616127152195, 'material_cost': 173.88282813516287, 'carbon_emission': 36.65815722659019, 'quality_index': 6.2902290172728526}"
2,SuburbanSmall,Traditional,21.85797748063836,"{'transport_cost': 261.70989249154377, 'labor_cost': 203.923718367466, 'project_duration': 75.62751497975165, 'material_cost': 190.0256373327305, 'carbon_emission': 198.5878758071227, 'quality_index': 8.093654134723582}"
3,UrbanLarge,OSC,18.182812436997647,"{'transport_cost': 272.0171177330866, 'labor_cost': 261.8616723962157, 'project_duration': 64.33415258897963, 'material_cost': 316.5355756144969, 'carbon_emission': 31.41789423049567, 'quality_index': 3.151140803107665}"
3,UrbanLarge,Traditional,3.045611911958887,"{'transport_cost': 220.27259673035311, 'labor_cost': 157.94174273035628, 'project_duration': 114.57144940985728, 'material_cost': 471.452876011847, 'carbon_emission': 115.32453608243769, 'quality_index': 1.588434027699434}"
3,SuburbanSmall,OSC,11.9914276457787,"{'transport_cost': 215.40482478185143, 'labor_cost': 293.39879402932115, 'project_duration': 98.94630643095986, 'material_cost': 188.43919122669612, 'carbon_emission': 54.19923468488533, 'quality_index': 2.1212087265380624}"
3,SuburbanSmall,Traditional,4.664250621542401,"{'transport_cost': 75.79847447982755, 'labor_cost': 388.8240761584949, 'project_duration': 70.2914623720983, 'material_cost': 398.56818970231245, 'carbon_emission': 276.5299999708019, 'quality_index': 2.668337038270281}"
